Nbr threads,Time
2,0.01
2,0.00
2,0.01
2,0.04
2,0.01
3,0.01
3,0.00
3,0.01
3,0.00
3,0.00
4,0.01
4,0.01
4,0.01
4,0.00
4,0.01
5,0.01
5,0.01
5,0.01
5,0.01
5,0.01
6,0.01
6,0.01
6,0.01
6,0.01
6,0.01
7,0.01
7,0.01
7,0.01
7,0.01
7,0.01
8,0.01
8,0.01
8,0.01
8,0.01
8,0.01
9,0.01
9,0.01
9,0.01
9,0.01
9,0.01
10,0.02
10,0.02
10,0.02
10,0.02
10,0.02
11,0.02
11,0.02
11,0.02
11,0.01
11,0.02
12,0.02
12,0.02
12,0.02
12,0.02
12,0.02
13,0.02
13,0.02
13,0.02
13,0.02
13,0.02
14,0.02
14,0.02
14,0.02
14,0.02
14,0.02
15,0.02
15,0.02
15,0.02
15,0.02
15,0.02
16,0.02
16,0.02
16,0.02
16,0.02
16,0.02
17,0.02
17,0.02
17,0.02
17,0.02
17,0.02
18,0.02
18,0.02
18,0.02
18,0.02
18,0.02
19,0.02
19,0.02
19,0.02
19,0.02
19,0.02
20,0.02
20,0.02
20,0.02
20,0.02
20,0.02
21,0.02
21,0.02
21,0.02
21,0.02
21,0.02
22,0.02
22,0.02
22,0.02
22,0.02
22,0.02
23,0.02
23,0.02
23,0.02
23,0.02
23,0.02
24,0.02
24,0.02
24,0.02
24,0.02
24,0.02
25,0.02
25,0.02
25,0.01
25,0.02
25,0.02
26,0.02
26,0.02
26,0.02
26,0.02
26,0.02
27,0.02
27,0.02
27,0.02
27,0.02
27,0.02
28,0.02
28,0.02
28,0.02
28,0.02
28,0.02
29,0.02
29,0.02
29,0.02
29,0.02
29,0.02
30,0.02
30,0.02
30,0.02
30,0.02
30,0.02
31,0.02
31,0.02
31,0.02
31,0.02
31,0.02
32,0.02
32,0.02
32,0.02
32,0.02
32,0.02
